_,2,3,4,5,6,7,8,9,10,11
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,H
10,D,D,D,D,D,D,D,D,H,H
9,H,D,D,D,D,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
21S,S,S,S,S,S,S,S,S,S,S
20S,S,S,S,S,S,S,S,S,S,S
19S,S,S,S,S,S,S,S,S,S,S
18S,S,D,D,D,D,S,S,H,H,H
17S,H,D,D,D,D,H,H,H,H,H
16S,H,H,D,D,D,H,H,H,H,H
15S,H,H,D,D,D,H,H,H,H,H
14S,H,H,H,D,D,H,H,H,H,H
13S,H,H,H,D,D,H,H,H,H,H
12DS,P,P,P,P,P,P,P,P,P,P
20D,S,S,S,S,S,S,S,S,S,S
18D,P,P,P,P,P,S,P,P,S,S
16D,P,P,P,P,P,P,P,P,P,P
14D,P,P,P,P,P,P,H,H,H,H
12D,P,P,P,P,P,H,H,H,H,H
10D,D,D,D,D,D,D,D,D,H,H
8D,H,H,H,P,P,H,H,H,H,H
6D,P,P,P,P,P,P,H,H,H,H
4D,P,P,P,P,P,P,H,H,H,H
